,Handle,,,# Tweets,,# Trump,,# Clinton,,e_Trump,,e_Clinton,,
,@angelamcglowan,,,2054,,417,,200,,0.2030185,,0.097370983,,
,@patrick_caddell,,,4,,0,,1,,0,,0.25,,
,@ChrisStirewalt,,,1580,,110,,11,,0.069620253,,0.006962025,,
,@dougmckelway,,,979,,119,,54,,0.121552605,,0.055158325,,
,@RCamposDuffy,,,367,,14,,11,,0.038147139,,0.029972752,,
,@TuckerCarlson,,,44,,3,,5,,0.068181818,,0.113636364,,
,@JohnStossel,,,1898,,126,,70,,0.066385669,,0.036880927,,
,@SteveHiltonx,,,1338,,101,,44,,0.0754858,,0.032884903,,
,@brithume,,,0,,0,,0,,0,,0,,
,@jasoninthehouse,,,1622,,1,,73,,0.000616523,,0.045006165,,
,@kevincorke,,,2,,0,,1,,0,,0.5,,
,@MonicaCrowley,,,2201,,411,,373,,0.186733303,,0.169468423,,
,@MikeEmanuelFox,,,0,,0,,0,,0,,0,,
TOTALS & AVERAGES,,,,91919,,17287,,9375,,0.114132439,,0.075464281,,
,,,,,,,,,,,,,,
